Dependency=division	Dependency=proto_bldg_type	Option=pre_1920	Option=1920_1945	Option=1946_1959	Option=1960_1969	Option=1970_1979	Option=1980_1989	Option=1990_1999	Option=2000_2003	Option=2004_2007	Option=2008_2012
5	large_hotel	0.016470211	0	0.003601395	0.036390061	0.415141094	0.150982821	0.066680525	0.136773682	0.030693261	0.14326695
5	midrise_apartment	0	0.003656507	0.116652232	0.013116294	0.014079677	0.589629563	0.22791915	0.003942145	0.029088451	0.001915979
5	highrise_apartment	0	0.003656507	0.116652232	0.013116294	0.014079677	0.589629563	0.22791915	0.003942145	0.029088451	0.001915979
5	outpatient	0	0	0.17777033	0.096269222	0.093491201	0.101452319	0.23169967	0.08424648	0.079311602	0.135759176
5	primary_school	0	0.054132613	0.059231358	0.106508478	0.130223398	0.179443522	0.203121314	0.068141642	0.078117977	0.121079697
5	quick_service_restaurant	0	0	0	0.071955395	0.187424011	0.184597797	0.146761513	0.178834444	0.168611488	0.061815351
5	retail	0.125229953	0.062851202	0.063392705	0.130929708	0.094968952	0.180552451	0.115416582	0.080215513	0.073752875	0.072690059
5	secondary_school	0	0	0.206849297	0.143126946	0.186781565	0.072070049	0.151095921	0.19043669	0.016403606	0.033235925
5	small_hotel	0.105698843	0.140199824	0.177943454	0.177470568	0.192824129	0.09465777	0.014034845	0	0.097170566	0
5	strip_mall	0	0	0.109694037	0.104007461	0.20360257	0.261882035	0.070103359	0.128944805	0.074386676	0.047379057
5	super_market	0	0	0.109694037	0.104007461	0.20360257	0.261882035	0.070103359	0.128944805	0.074386676	0.047379057
5	warehouse	0.007916553	0.08566531	0.138768262	0.11386189	0.074869387	0.152982664	0.183838798	0.079041529	0.089888732	0.073166876
5	small_office	0	0.015166162	0.064913929	0.124003088	0.158645762	0.298913348	0.081998301	0.075276971	0.139315297	0.041767143
5	medium_office	0.093069879	0.06775362	0.072914473	0.111175546	0.122550805	0.21049262	0.131459434	0.059296572	0.048895636	0.082391417
5	large_office	0.093069879	0.06775362	0.072914473	0.111175546	0.122550805	0.21049262	0.131459434	0.059296572	0.048895636	0.082391417
5	no_match	0.045326817	0.051907841	0.115854111	0.101417532	0.096875281	0.173861551	0.185853892	0.069287987	0.08931225	0.070302739
6	full_service_restaurant	0.194260002	0.079875038	0.056295915	0.046334818	0.091062373	0.34252178	0.035147483	0.087076274	0.067426317	0
6	hospital	0	0	0.386512965	0.041282111	0.17693037	0.260166779	0.07299523	0.041218772	0.020893773	0
6	large_hotel	0	0	0	0.173017314	0	0.083531271	0.199158051	0.257444588	0	0.286848775
6	midrise_apartment	0	0	0	0.515170071	0.116615668	0.036021466	0.332192796	0	0	0
6	highrise_apartment	0	0	0	0.515170071	0.116615668	0.036021466	0.332192796	0	0	0
6	outpatient	0	0	0	0	0.457734668	0.310698814	0.231300637	0.000265882	0	0
6	primary_school	0	0.120361591	0.0500192	0.088636585	0.073936441	0.160688589	0.41856431	0	0.087793284	0
6	quick_service_restaurant	0	0	0	0.106436177	0.084729259	0.170222535	0.320990386	0	0.150338198	0.167283445
6	retail	0	0	0.214145259	0.077013187	0.111422175	0.270872439	0.297155463	0	0.029391477	0
6	secondary_school	0	0.104820992	0.136674822	0.287334348	0.272301707	0.077876221	0.120991911	0	0	0
6	small_hotel	0	0	0.489927058	0.265973355	0	0.070530089	0.173569498	0	0	0
6	strip_mall	0	0	0.222227467	0.012130395	0.043009822	0.328034431	0.149888935	0	0	0.244708949
6	super_market	0	0	0.222227467	0.012130395	0.043009822	0.328034431	0.149888935	0	0	0.244708949
6	warehouse	0.080166849	0.10352976	0.007454701	0.0071485	0.144577276	0.383130515	0.150961137	0.010307907	0.106557025	0.006166331
6	small_office	0.157175395	0	0	0.146738207	0.023717402	0.096662962	0.35402901	0.105270968	0.005291871	0.111114185
6	medium_office	0.141274221	0.106675443	0.103638097	0.064879743	0.130933401	0.243080856	0.056980548	0.035054799	0.117146793	0.000336101
6	large_office	0.141274221	0.106675443	0.103638097	0.064879743	0.130933401	0.243080856	0.056980548	0.035054799	0.117146793	0.000336101
6	no_match	0.104230705	0.079294326	0.098490909	0.157230996	0.13518849	0.083358309	0.18970905	0.054703142	0.048921311	0.048872761
7	full_service_restaurant	0.061744924	0.043594815	0.134033249	0.158180595	0.1245556	0.153243498	0.230740805	0.093906512	0	0
7	hospital	0	0.005051714	0.010391538	0.03062086	0.18839064	0.089204988	0.278245522	0.022701684	0.071765531	0.303627525
7	large_hotel	0.008061976	0.019586891	0	0.042810071	0.429029205	0.036843294	0.057768646	0.192704123	0.054047334	0.15914846
7	midrise_apartment	0	0	0.573353025	0	0	0.060871051	0.156226423	0.156226423	0.04315064	0.010172438
